dataset,model,method,metric,n_cells,n_seeds,n_subjects,mean_difference,ci_lower,ci_upper,bootstrap_repetitions
HAR,LR,One-shot,mean_size_reduction_vs_all,100,20,26,0.0008096227536541,-0.0031045623134361,0.0045762844000005,10000
HAR,LR,One-shot,coverage_difference_vs_all,100,20,26,0.0009883104462104,-0.0016091217364316,0.0035446015641134,10000
HAR,LR,Recursive,mean_size_reduction_vs_all,100,20,26,0.0013918881319033,-0.0028211672520728,0.0056118145019418,10000
HAR,LR,Recursive,coverage_difference_vs_all,100,20,26,-0.0001760411845232,-0.0028944607451937,0.0026359618848105,10000
HAR,Small NN,One-shot,mean_size_reduction_vs_all,100,20,26,0.0173614609313672,0.0074718377638149,0.0268641213060781,10000
HAR,Small NN,One-shot,coverage_difference_vs_all,100,20,26,-1.1825213076412152e-05,-0.0052268498161763,0.0048356905329619,10000
HAR,Small NN,Recursive,mean_size_reduction_vs_all,100,20,26,0.0134946317514794,0.0033304230814193,0.0230909841637574,10000
HAR,Small NN,Recursive,coverage_difference_vs_all,100,20,26,0.0038855352295751,-0.003691622041011,0.01094443789945,10000
