dataset,model,method,scaling,n,feature_size_gain,feature_ci_lo,feature_ci_hi,coverage_delta,cov_ci_lo,cov_ci_hi,scaling_size_gain_all,scaling_ci_lo,scaling_ci_hi,combined_size_gain_vs_base_all,comb_ci_lo,comb_ci_hi,interaction,int_ci_lo,int_ci_hi,temp_mean,temp_min,temp_max,frac_T_lt1,frac_T_gt1,mean_size,coverage
Dry Bean,Small NN,One-shot,ts,20,0.0142133098281181,0.0043604736967492,0.024066145959487,0.0006170118995151,-0.0011741742063797,0.0024081980054101,-0.0030189510797708,-0.0052578336995146,-0.000780068460027,0.0111943587483473,0.0006334579116624,0.0217552595850321,-0.00275451740855,-0.0053219460846247,-0.0001870887324753,1.06,1.0,1.1,0.0,0.6,1.0693036579991184,0.899559277214632
Dry Bean,Small NN,One-shot,confts,20,0.0169678272366681,0.0079142933602985,0.0260213611130378,0.0002864698104891,-0.0014383227776448,0.0020112623986232,0.0,0.0,0.0,0.0169678272366681,0.0079142933602985,0.0260213611130378,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0635301895107978,0.8993609519612165
Dry Bean,Small NN,Recursive,base,20,0.0177611282503305,0.0087772135291997,0.0267450429714614,-0.0003305420890259,-0.0021909901621614,0.0015299059841094,0.0,0.0,0.0,0.0177611282503305,0.0087772135291997,0.0267450429714614,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.062736888497135,0.8987439400617012
Dry Bean,Small NN,Recursive,ts,20,0.0142353459673864,0.0047563586519668,0.0237143332828059,6.61084178051996e-05,-0.0017839598322505,0.0019161766678609,-0.0030189510797708,-0.0052578336995146,-0.000780068460027,0.0112163948876156,0.0010187831440977,0.0214140066311334,-0.0035257822829441,-0.0061408470034306,-0.0009107175624576,1.0650000000000002,1.0,1.2,0.0,0.6,1.0692816218598502,0.899008373732922
Dry Bean,Small NN,Recursive,confts,20,0.0177611282503305,0.0087772135291997,0.0267450429714614,-0.0003305420890259,-0.0021909901621614,0.0015299059841094,0.0,0.0,0.0,0.0177611282503305,0.0087772135291997,0.0267450429714614,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.062736888497135,0.8987439400617012
HAR,LR,One-shot,base,20,0.0008237540088639,-0.0019972418635364,0.0036447498812643,0.0008994532426542,-0.0010017621266379,0.0028006686119464,0.0,0.0,0.0,0.0008237540088639,-0.0019972418635364,0.0036447498812643,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0013612845837447,0.8891453498746076
HAR,LR,One-shot,ts,20,0.0037928980517951,0.0003971855070409,0.0071886105965493,0.0003001466917118,-0.0020189604455482,0.0026192538289718,-0.037586413504362,-0.0488222121961816,-0.0263506148125423,-0.0337935154525668,-0.0443608144437954,-0.0232262164613382,0.0029691440429312,-0.0007194749462735,0.006657763032136,1.755,1.1,2.0,0.0,1.0,1.0359785540451754,0.8890155293297519
HAR,LR,One-shot,confts,20,0.0010476467134016,-0.0019769076041266,0.0040722010309299,0.0010268381360216,-0.0014816782531978,0.0035353545252411,0.0076630068456487,0.0014852110337554,0.0138408026575419,0.0087106535590503,0.0011340433760437,0.0162872637420569,0.0002238927045376,-0.0017734207046758,0.0022212061137511,0.8249999999999998,0.6,1.6,0.85,0.1,0.9934743850335582,0.8893761075963518
HAR,LR,Recursive,base,20,0.0014184968042248,-0.0017042628564267,0.0045412564648763,-0.0002737774054831,-0.0023837371561464,0.0018361823451802,0.0,0.0,0.0,0.0014184968042248,-0.0017042628564267,0.0045412564648763,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0007665417883838,0.8879721192264702
HAR,LR,Recursive,ts,20,0.0044689021660098,0.001279316420918,0.0076584879111016,-0.0005251646912644,-0.0032971508530485,0.0022468214705196,-0.037586413504362,-0.0488222121961816,-0.0263506148125423,-0.0331175113383521,-0.042975132595969,-0.0232598900807351,0.003050405361785,-0.0001190020961352,0.0062198128197054,1.755,1.1,2.0,0.0,1.0,1.0353025499309605,0.8881902179467757
HAR,LR,Recursive,confts,20,0.0004674335271255,-0.0024770080888176,0.0034118751430686,0.0003122165179931,-0.0022206568055602,0.0028450898415465,0.0076630068456487,0.0014852110337554,0.0138408026575419,0.0081304403727742,0.0001358446760478,0.0161250360695005,-0.0009510632770993,-0.0031425445983444,0.0012404180441458,0.8299999999999998,0.6,1.6,0.85,0.1,0.9940545982198344,0.8886614859783233
HAR,Small NN,One-shot,base,20,0.0177738150778391,0.009855071998921,0.0256925581567573,3.3107063532367145e-05,-0.0034558818111439,0.0035220959382086,0.0,0.0,0.0,0.0177738150778391,0.009855071998921,0.0256925581567573,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0040081053577061,0.8882472428561223
HAR,Small NN,One-shot,ts,20,0.0114479204732731,-0.001364293536259,0.0242601344828052,-0.0008066001414394,-0.0037111419804883,0.0020979416976093,-0.0365740501447514,-0.0507306236889631,-0.0224174766005397,-0.0251261296714783,-0.0436037092041268,-0.0066485501388297,-0.006325894604566,-0.0175082960899688,0.0048565068808366,1.91,1.4,2.0,0.0,1.0,1.0469080501070236,0.8870243572396678
HAR,Small NN,One-shot,confts,20,0.0080454102848958,0.0022548827035039,0.0138359378662877,-0.000206141670984,-0.0041310326888126,0.0037187493468446,0.0152893135174658,0.0070047402161536,0.0235738868187781,0.0233347238023617,0.0121159366782265,0.0345535109264969,-0.0097284047929433,-0.0157582444763932,-0.0036985651094933,0.865,0.6,1.6,0.7,0.1,0.9984471966331835,0.8875725031144428
HAR,Small NN,Recursive,base,20,0.0132239432040396,0.0046432499514494,0.0218046364566299,0.0040073333296719,-0.0012710183783844,0.0092856850377284,0.0,0.0,0.0,0.0132239432040396,0.0046432499514494,0.0218046364566299,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0085579772315056,0.8922214691222621
HAR,Small NN,Recursive,ts,20,0.0129600576197049,0.0032525412693556,0.0226675739700542,0.0027642038854104,-0.0027520294512668,0.0082804372220876,-0.0365740501447514,-0.0507306236889631,-0.0224174766005397,-0.0236139925250464,-0.0405809457364379,-0.006647039313655,-0.0002638855843347,-0.0070495891871124,0.0065218180184429,1.86,1.2,2.0,0.0,1.0,1.0453959129605919,0.8905951612665177
HAR,Small NN,Recursive,confts,20,0.0038190625593139,-0.0021948409147366,0.0098329660333645,0.0042477618119333,-0.0012869676239639,0.0097824912478307,0.0152893135174658,0.0070047402161536,0.0235738868187781,0.0191083760767798,0.0098950574175835,0.028321694735976,-0.0094048806447257,-0.0149154419212762,-0.0038943193681752,0.8800000000000001,0.5,1.6,0.6,0.15,1.0026735443587653,0.8920264065973601
