dataset,model,method,stability_type,top_k,seed_pairs,spearman_mean,spearman_min,jaccard_mean,jaccard_min,kuncheva_mean,kuncheva_min
Dry Bean,Small NN,shap,complete_harmfulness_ranking,5,190,0.6021671826625387,0.1147058823529411,0.4044903926482873,0.1111111111111111,0.3569377990430621,-0.1636363636363636
HAR,LR,mutual_information,complete_harmfulness_ranking,1,190,0.9842387180484752,0.9659466763088282,0.1421052631578947,0.0,0.1405733082706766,-0.0017857142857142
HAR,LR,mutual_information,complete_harmfulness_ranking,3,190,0.9842387180484752,0.9659466763088282,0.2594736842105263,0.0,0.3685531031880777,-0.0053763440860215
HAR,LR,mutual_information,complete_harmfulness_ranking,5,190,0.9842387180484752,0.9659466763088282,0.33343776106934,0.0,0.4657648617947747,-0.0089928057553956
HAR,LR,rfe,complete_harmfulness_ranking,1,190,0.6873464067470711,0.589224000826471,0.0421052631578947,0.0,0.0403947368421052,-0.0017857142857142
HAR,LR,rfe,complete_harmfulness_ranking,3,190,0.6873464067470711,0.589224000826471,0.0505263157894736,0.0,0.0739954725523486,-0.0053763440860215
HAR,LR,rfe,complete_harmfulness_ranking,5,190,0.6873464067470711,0.589224000826471,0.0595446950710108,0.0,0.0919064748201439,-0.0089928057553956
HAR,LR,crfe,complete_harmfulness_ranking,1,190,0.5947120200734007,0.4199317481764624,0.131578947368421,0.0,0.1300281954887218,-0.0017857142857142
HAR,LR,crfe,complete_harmfulness_ranking,3,190,0.5947120200734007,0.4199317481764624,0.1205263157894736,0.0,0.1745331069609507,-0.0053763440860215
HAR,LR,crfe,complete_harmfulness_ranking,5,190,0.5947120200734007,0.4199317481764624,0.1326441102756892,0.0,0.2044888299886406,-0.0089928057553956
HAR,LR,permutation_importance,complete_harmfulness_ranking,1,190,0.0795907924033922,-0.4345273890856892,0.0105263157894736,0.0,0.0087593984962406,-0.0017857142857142
HAR,LR,permutation_importance,complete_harmfulness_ranking,3,190,0.0795907924033922,-0.4345273890856892,0.0094736842105263,0.0,0.0104980192416525,-0.0053763440860215
HAR,LR,permutation_importance,complete_harmfulness_ranking,5,190,0.0795907924033922,-0.4345273890856892,0.014766081871345,0.0,0.0175596365013252,-0.0089928057553956
HAR,LR,shap,complete_harmfulness_ranking,1,190,0.6387866233179577,0.4800173450162984,0.0526315789473684,0.0,0.0509398496240601,-0.0017857142857142
HAR,LR,shap,complete_harmfulness_ranking,3,190,0.6387866233179577,0.4800173450162984,0.0489473684210526,0.0,0.0739954725523486,-0.0053763440860215
HAR,LR,shap,complete_harmfulness_ranking,5,190,0.6387866233179577,0.4800173450162984,0.0510860484544695,0.0,0.0802234002271866,-0.0089928057553956
HAR,Small NN,mutual_information,complete_harmfulness_ranking,1,190,0.9842387180484752,0.9659466763088282,0.1421052631578947,0.0,0.1405733082706766,-0.0017857142857142
HAR,Small NN,mutual_information,complete_harmfulness_ranking,3,190,0.9842387180484752,0.9659466763088282,0.2594736842105263,0.0,0.3685531031880777,-0.0053763440860215
HAR,Small NN,mutual_information,complete_harmfulness_ranking,5,190,0.9842387180484752,0.9659466763088282,0.33343776106934,0.0,0.4657648617947747,-0.0089928057553956
HAR,Small NN,rfe,complete_harmfulness_ranking,1,190,0.6873464067470711,0.589224000826471,0.0421052631578947,0.0,0.0403947368421052,-0.0017857142857142
HAR,Small NN,rfe,complete_harmfulness_ranking,3,190,0.6873464067470711,0.589224000826471,0.0505263157894736,0.0,0.0739954725523486,-0.0053763440860215
HAR,Small NN,rfe,complete_harmfulness_ranking,5,190,0.6873464067470711,0.589224000826471,0.0595446950710108,0.0,0.0919064748201439,-0.0089928057553956
HAR,Small NN,crfe,complete_harmfulness_ranking,1,190,0.5947120200734007,0.4199317481764624,0.131578947368421,0.0,0.1300281954887218,-0.0017857142857142
HAR,Small NN,crfe,complete_harmfulness_ranking,3,190,0.5947120200734007,0.4199317481764624,0.1205263157894736,0.0,0.1745331069609507,-0.0053763440860215
HAR,Small NN,crfe,complete_harmfulness_ranking,5,190,0.5947120200734007,0.4199317481764624,0.1326441102756892,0.0,0.2044888299886406,-0.0089928057553956
HAR,Small NN,permutation_importance,complete_harmfulness_ranking,1,190,0.0671660243725953,-0.2442900097599699,0.0052631578947368,0.0,0.0034868421052631,-0.0017857142857142
HAR,Small NN,permutation_importance,complete_harmfulness_ranking,3,190,0.0671660243725953,-0.2442900097599699,0.0031578947368421,0.0,-8.488964346349763e-05,-0.0053763440860215
HAR,Small NN,permutation_importance,complete_harmfulness_ranking,5,190,0.0671660243725953,-0.2442900097599699,0.0076023391812865,0.0,0.0048144642180992,-0.0089928057553956
HAR,Small NN,shap,complete_harmfulness_ranking,1,190,0.4015714492475122,0.2688257315219844,0.0526315789473684,0.0,0.0509398496240601,-0.0017857142857142
HAR,Small NN,shap,complete_harmfulness_ranking,3,190,0.4015714492475122,0.2688257315219844,0.0410526315789473,0.0,0.0616487455197132,-0.0053763440860215
HAR,Small NN,shap,complete_harmfulness_ranking,5,190,0.4015714492475122,0.2688257315219844,0.0464912280701754,0.0,0.0727887163953048,-0.0089928057553956
