dataset,model,method,reference_method,metric,positive_direction,target_size_rule,target_size_min,target_size_max,n_pairs,mean_difference,median_difference,standard_deviation,standard_error,ci_lower,ci_upper,cohens_dz,rank_biserial,sign_flip_pvalue,wilcoxon_pvalue,positive_fraction,holm_sign_flip_pvalue,holm_wilcoxon_pvalue
Covertype,LR,Recursive,SHAP,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0035017968524102,0.0036195216654962,0.0038436571041779,0.0012154710993889,0.0007522101987533,0.0062513835060671,0.9110585979701296,0.7818181818181819,0.01953125,0.02734375,0.7,0.15625,0.21875
Covertype,LR,Recursive,SHAP,accuracy,proposed_higher,matched_within_seed,49,51,10,8.05485563220354e-05,-2.5816844975046216e-05,0.0006170709620842,0.0001951349718137,-0.0003608774178789,0.0005219745305229,0.1305337007756208,-0.1636363636363636,0.78125,0.6953125,0.3,1.0,1.0
Covertype,Small NN,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,53,53,10,0.0013476393076955,0.0010068569540254,0.0062310248315387,0.0019704230624729,-0.0031097673368204,0.0058050459522114,0.2162789178554277,0.3454545454545454,0.521484375,0.375,0.6,1.0,1.0
Covertype,Small NN,One-shot,MI,accuracy,proposed_higher,matched_within_seed,53,53,10,-0.0004647032095501,0.000211698128795,0.0028889489161155,0.0009135658618799,-0.0025313327676899,0.0016019263485895,-0.1608554609456437,-0.1636363636363636,0.626953125,0.6953125,0.5,1.0,1.0
Covertype,Small NN,One-shot,RFE,mean_size,proposed_smaller,matched_within_seed,53,53,10,0.0022884051385847,0.0020446941220205,0.0096426510961523,0.003049274014616,-0.0046095319149133,0.0091863421920829,0.2373211594784266,0.3090909090909091,0.46484375,0.431640625,0.7,1.0,1.0
Covertype,Small NN,One-shot,RFE,accuracy,proposed_higher,matched_within_seed,53,53,10,0.0005338923540831,0.0006144409104051,0.0027733056826067,0.0008769962604925,-0.0014500110183372,0.0025177957265036,0.1925111816672724,0.2363636363636363,0.556640625,0.556640625,0.7,1.0,1.0
Covertype,Small NN,One-shot,Permutation,mean_size,proposed_smaller,matched_within_seed,53,53,10,5.989508034200952e-05,0.0015490106985005,0.008050477788546,0.0025457846064401,-0.0056990698020578,0.0058188599627418,0.0074399410712275,0.0181818181818181,0.982421875,1.0,0.6,1.0,1.0
Covertype,Small NN,One-shot,Permutation,accuracy,proposed_higher,matched_within_seed,53,53,10,-0.000262299144946,0.000356272460655,0.0027919361054714,0.0008828877174949,-0.0022595299190239,0.0017349316291317,-0.0939488351585361,-0.0909090909090909,0.77734375,0.845703125,0.6,1.0,1.0
Covertype,Small NN,One-shot,CRFE,mean_size,proposed_smaller,matched_within_seed,53,53,10,0.0092000908752942,0.005839770333347,0.0269559492516956,0.0085242196127269,-0.0100830335789009,0.0284832153294895,0.3413009421182074,0.2363636363636363,0.375,0.5390625,0.7,1.0,1.0
Covertype,Small NN,One-shot,CRFE,accuracy,proposed_higher,matched_within_seed,53,53,10,0.0044126151431285,0.0015490106985005,0.0112636664665442,0.003561884083874,-0.003644926450264,0.0124701567365211,0.3917565524720668,0.3818181818181818,0.23828125,0.322265625,0.5,1.0,1.0
Covertype,Small NN,One-shot,SHAP,mean_size,proposed_smaller,matched_within_seed,53,53,10,0.0006381924077822,0.00012392085588,0.0054812961651477,0.0017333380411813,-0.0032828906576267,0.0045592754731911,0.1164309295746649,0.0666666666666666,0.7421875,0.91015625,0.5,1.0,1.0
Covertype,Small NN,One-shot,SHAP,accuracy,proposed_higher,matched_within_seed,53,53,10,0.000331488289479,-4.647032095500547e-05,0.0016326660215185,0.0005162943286364,-0.0008364506241578,0.001499427203116,0.2030349655778168,0.1555555555555555,0.57421875,0.734375,0.4,1.0,1.0
Covertype,Small NN,Recursive,MI,mean_size,proposed_smaller,matched_within_seed,49,53,10,-0.0004316576479821,0.0026126647114708,0.0103204560456964,0.0032636147596055,-0.0078144671530377,0.0069511518570734,-0.041825443184959,0.2,0.90234375,0.625,0.7,1.0,1.0
Covertype,Small NN,Recursive,MI,accuracy,proposed_higher,matched_within_seed,49,53,10,-0.0012629600561774,-0.0007177082903052,0.0033150671552787,0.0010483162807095,-0.0036344162394626,0.0011084961271076,-0.3809757078876709,-0.3818181818181818,0.255859375,0.322265625,0.3,1.0,1.0
Covertype,Small NN,Recursive,RFE,mean_size,proposed_smaller,matched_within_seed,49,53,10,-0.0015438473295055,0.0001652278078402,0.0109796157252355,0.0034720593525145,-0.0093981912634569,0.0063104966044458,-0.1406103244539932,-0.0545454545454545,0.681640625,0.921875,0.5,1.0,1.0
Covertype,Small NN,Recursive,RFE,accuracy,proposed_higher,matched_within_seed,49,53,10,-0.0003314882894791,-0.000139410962865,0.0039535044210094,0.0012502078709934,-0.0031596549798337,0.0024966784008755,-0.0838466975571218,-0.0545454545454545,0.796875,0.921875,0.5,1.0,1.0
Covertype,Small NN,Recursive,CRFE,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.0398684373580073,0.0405427733487544,0.0470906252657982,0.0148913632281394,0.0061818333676419,0.0735550413483727,0.8466321509424449,0.6363636363636364,0.048828125,0.083984375,0.7,0.48828125,0.83984375
Covertype,Small NN,Recursive,CRFE,accuracy,proposed_higher,matched_within_seed,49,53,10,0.0160529142054607,0.0165640877359659,0.0177812689657382,0.0056229309619799,0.003332960653898,0.0287728677570234,0.902799132974829,0.6727272727272727,0.04296875,0.064453125,0.7,0.4296875,0.64453125
Covertype,Small NN,Recursive,Permutation,mean_size,proposed_smaller,matched_within_seed,49,53,10,-0.0019827336940806,-0.0015077037465403,0.010183156252033,0.0032201967525808,-0.0092673248435508,0.0053018574553895,-0.1947071855727256,-0.2363636363636363,0.5703125,0.556640625,0.4,1.0,1.0
Covertype,Small NN,Recursive,Permutation,accuracy,proposed_higher,matched_within_seed,49,53,10,-0.0010936015531413,-0.0020860010739807,0.0040634732042045,0.0012849830536348,-0.0040004351719958,0.001813232065713,-0.2691297562907082,-0.3090909090909091,0.412109375,0.431640625,0.3,1.0,1.0
Covertype,Small NN,Recursive,SHAP,mean_size,proposed_smaller,matched_within_seed,49,53,10,-0.0016884216613656,0.0009810401090504,0.0111412270694319,0.0035231653468527,-0.009658375386471,0.0062815320637398,-0.1515471905242943,0.2444444444444444,0.76171875,0.5703125,0.6,1.0,1.0
Covertype,Small NN,Recursive,SHAP,accuracy,proposed_higher,matched_within_seed,49,53,10,-0.000122888182081,8.777727291503501e-05,0.003292358312677,0.0010411351141448,-0.0024780994379845,0.0022323230738223,-0.0373252758084943,0.0222222222222222,0.875,1.0,0.5,1.0,1.0
Dry Bean,LR,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,13,16,20,0.0023578669017188,0.0015425297487879,0.0054435109618396,0.0012172060546938,-0.0001897746499268,0.0049055084533645,0.4331518606737534,0.5,0.06646728515625,0.0785808701786487,0.55,0.46527099609375,0.5500660912505414
Dry Bean,LR,One-shot,MI,accuracy,proposed_higher,matched_within_seed,13,16,20,0.0020052886734244,0.0013221683561039,0.0022720238811094,0.0005080399844663,0.0009419487653351,0.0030686285815137,0.8826001742751126,0.8823529411764706,0.000518798828125,0.0019020072001692,0.75,0.00311279296875,0.0114120432010156
Dry Bean,LR,One-shot,RFE,mean_size,proposed_smaller,matched_within_seed,13,16,20,0.00110180696342,0.0006610841780519,0.0047906768426479,0.0010712279078394,-0.0011402988154415,0.0033439127422815,0.2299898322532272,0.2794117647058823,0.32635498046875,0.3256273578347909,0.5,1.0,1.0
Dry Bean,LR,One-shot,RFE,accuracy,proposed_higher,matched_within_seed,13,16,20,0.0019612163948876,0.0013221683561039,0.00186147206324,0.0004162378071621,0.001090020652143,0.0028324121376322,1.0535835770072894,1.0,6.103515625e-05,0.0006451158437926,0.75,0.00054931640625,0.0058060425941336
Dry Bean,LR,One-shot,Permutation,mean_size,proposed_smaller,matched_within_seed,13,16,20,0.0005729396209784,0.0,0.0046159213403024,0.0010321513895708,-0.0015873780651842,0.0027332573071411,0.1241224836255252,0.1583333333333333,0.6016845703125,0.5891974450661692,0.4,1.0,1.0
Dry Bean,LR,One-shot,Permutation,accuracy,proposed_higher,matched_within_seed,13,16,20,0.0016086381665932,0.0011018069634201,0.0015876004271079,0.000354998247612,0.0008656182950683,0.0023516580381181,1.0132512810692849,1.0,6.103515625e-05,0.0006467491225764,0.75,0.00054931640625,0.0058060425941336
Dry Bean,LR,One-shot,SHAP,mean_size,proposed_smaller,matched_within_seed,13,16,20,0.000771264874394,0.0,0.004615423001195,0.0010320399575588,-0.0013888195818871,0.0029313493306751,0.1671059996438699,0.2166666666666666,0.47930908203125,0.4600300472530342,0.45,1.0,1.0
Dry Bean,LR,One-shot,SHAP,accuracy,proposed_higher,matched_within_seed,13,16,20,0.001762891141472,0.0011018069634201,0.0017454074914905,0.000390284979941,0.0009460152903812,0.0025797669925628,1.0100169445053568,1.0,6.103515625e-05,0.0006467491225764,0.75,0.00054931640625,0.0058060425941336
Dry Bean,LR,One-shot,CRFE,mean_size,proposed_smaller,matched_within_seed,13,16,20,0.0006390480387836,0.0,0.0041231420694502,0.0009219625948179,-0.0012906418494351,0.0025687379270023,0.1549905455643978,0.35,0.519287109375,0.2323189181579913,0.45,1.0,1.0
Dry Bean,LR,One-shot,CRFE,accuracy,proposed_higher,matched_within_seed,13,16,20,0.0005949757602467,0.0,0.0021125436922294,0.0004723791301263,-0.0003937251219081,0.0015836766424017,0.2816395052255194,0.3714285714285714,0.244873046875,0.2203297530976842,0.45,0.3076171875,0.4406595061953684
Dry Bean,LR,Recursive,MI,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0175628029969149,0.0118995152049361,0.0175115406910282,0.0039156995375892,0.009367149674905,0.0257584563189247,1.0029273441321451,0.8789473684210526,0.0002593994140625,0.0007768821742015,0.75,0.002593994140625,0.0077688217420158
Dry Bean,LR,Recursive,MI,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0055971793741736,0.004186866460996,0.004727522980426,0.0010571062749425,0.003384630512653,0.0078097282356943,1.183956037305018,0.9894736842105264,7.62939453125e-06,0.0001546190150682,0.9,7.62939453125e-05,0.0015461901506827
Dry Bean,LR,Recursive,RFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0033935654473336,0.0022036139268399,0.0059801354568643,0.0013371989396205,0.0005947759011785,0.0061923549934886,0.5674730065584487,0.5210526315789473,0.0213966369628906,0.0463060179864321,0.65,0.1925697326660156,0.4167541618778896
Dry Bean,LR,Recursive,RFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0018951079770824,0.0013221683561041,0.0024521736067771,0.0005483226877384,0.000747455402068,0.0030427605520968,0.7728278176736141,0.7973856209150327,0.0027618408203125,0.0038567244484245,0.65,0.01104736328125,0.0154268977936982
Dry Bean,LR,Recursive,CRFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0008373732921992,0.0,0.0053039220993045,0.0011859930361408,-0.0016449386608042,0.0033196852452027,0.1578781280194543,0.1695906432748538,0.4975509643554687,0.5275307805322712,0.45,1.0,1.0
Dry Bean,LR,Recursive,CRFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0008594094314675,0.0,0.0024950515389542,0.0005579104848467,-0.0003083106335231,0.0020271294964583,0.3444455627669272,0.3006535947712418,0.15380859375,0.2752416264336398,0.4,0.3076171875,0.4406595061953684
Dry Bean,LR,Recursive,Permutation,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.002313794623182,0.002644336712208,0.0059506166491953,0.0013305983335642,-0.0004711796957236,0.0050987689420876,0.3888327478623407,0.4368421052631579,0.1020278930664062,0.094742151556038,0.65,0.6121673583984375,0.5684529093362282
Dry Bean,LR,Recursive,Permutation,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0016086381665932,0.0011018069634201,0.0019410508437048,0.0004340321634307,0.0007001984081458,0.0025170779250406,0.8287460227073871,0.8169934640522876,0.00164794921875,0.0030652142950425,0.7,0.00823974609375,0.0153260714752125
Dry Bean,LR,Recursive,SHAP,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0027765535478183,0.0028646981048919,0.005897509155328,0.001318723136924,1.6434301131469653e-05,0.0055366727945052,0.4708010576481966,0.4789473684210526,0.0510826110839843,0.0670146891263078,0.65,0.408660888671875,0.5361175130104627
Dry Bean,LR,Recursive,SHAP,accuracy,proposed_higher,matched_within_seed,11,16,20,0.001322168356104,0.0008814455707361,0.0021590918843395,0.0004827876223051,0.0003116822494488,0.0023326544627592,0.6123724356958012,0.7189542483660131,0.008544921875,0.0091370325020023,0.65,0.025634765625,0.027411097506007
Dry Bean,Small NN,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0197443807844866,0.0130013221683561,0.0207982425669749,0.0046506284192285,0.0100105036349263,0.0294782579340469,0.9493292868811072,0.9105263157894736,6.4849853515625e-05,0.0004983279085286,0.8,0.0003890991210937,0.002772979378309
Dry Bean,Small NN,One-shot,MI,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0051344204495373,0.0037461436756281,0.0063227735114582,0.0014138151377955,0.0021752713576446,0.00809356954143,0.8120519326261881,0.869281045751634,0.000518798828125,0.001641527894313,0.7,0.004150390625,0.0131322231545045
Dry Bean,Small NN,One-shot,RFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0122520934332305,0.0088144557073602,0.0134536189259427,0.0030083206461785,0.0059556059574056,0.0185485809090554,0.9106912794746032,0.8578947368421053,0.0002975463867187,0.0010378139715892,0.75,0.000762939453125,0.0037289141731423
